resource,bytes,organisations,endpoints,start-date,end-date
05280773e379a6f1ae29013de610201561de289423a476497069dc1b1297520f,445755071,government-organisation:D303,2fe69293c0911843f5ca04d2b8a34b3e4f5cc412f64cc06cb69c7753efa3785a,2021-01-11,2021-01-19
abba36cb6dc0396e50358a9461382dd5756e79871284d1cc2a959ecdb1ba0a69,445754715,government-organisation:D303,2fe69293c0911843f5ca04d2b8a34b3e4f5cc412f64cc06cb69c7753efa3785a,2021-02-12,2021-07-01
e5b1e8e7e9652aa8d667614c3e6c976459b45f878ceb29f636ee25c7680f85cc,445755071,government-organisation:D303,2fe69293c0911843f5ca04d2b8a34b3e4f5cc412f64cc06cb69c7753efa3785a,2021-02-01,2021-02-01
