pipeline,resource,organisation,value,entity
parish,,government-organisation:D303,E04000167,130000144
parish,,government-organisation:D303,E04000168,130000145
parish,,government-organisation:D303,E04000169,130000146
parish,,government-organisation:D303,E04000170,130000147
parish,,government-organisation:D303,E04000171,130000148
parish,,government-organisation:D303,E04000172,130000149
parish,,government-organisation:D303,E04000173,130000150
parish,,government-organisation:D303,E04000174,130000151
parish,,government-organisation:D303,E04000175,130000152
parish,,government-organisation:D303,E04000176,130000153
parish,,government-organisation:D303,E04000177,130000154
parish,,government-organisation:D303,E04000178,130000155
parish,,government-organisation:D303,E04000179,130000156
parish,,government-organisation:D303,E04000180,130000157
parish,,government-organisation:D303,E04000181,130000158
parish,,government-organisation:D303,E04000185,130000159
parish,,government-organisation:D303,E04000186,130000160
parish,,government-organisation:D303,E04000187,130000161
parish,,government-organisation:D303,E04000188,130000162
parish,,government-organisation:D303,E04000190,130000163
parish,,government-organisation:D303,E04000195,130000164
parish,,government-organisation:D303,E04000196,130000165
parish,,government-organisation:D303,E04000197,130000166
parish,,government-organisation:D303,E04000199,130000167
parish,,government-organisation:D303,E04000200,130000168
parish,,government-organisation:D303,E04000201,130000169
parish,,government-organisation:D303,E04000202,130000170
parish,,government-organisation:D303,E04000203,130000171
parish,,government-organisation:D303,E04000204,130000172
parish,,government-organisation:D303,E04000205,130000173
parish,,government-organisation:D303,E04000208,130000174
parish,,government-organisation:D303,E04000210,130000175
parish,,government-organisation:D303,E04000214,130000176
parish,,government-organisation:D303,E04000218,130000177
parish,,government-organisation:D303,E04000219,130000178
parish,,government-organisation:D303,E04000220,130000179
parish,,government-organisation:D303,E04000221,130000180
parish,,government-organisation:D303,E04000223,130000181
parish,,government-organisation:D303,E04000224,130000182
parish,,government-organisation:D303,E04000225,130000183
parish,,government-organisation:D303,E04000226,130000184
parish,,government-organisation:D303,E04000227,130000185
parish,,government-organisation:D303,E04000228,130000186
parish,,government-organisation:D303,E04000229,130000187
parish,,government-organisation:D303,E04000230,130000188
parish,,government-organisation:D303,E04000231,130000189
parish,,government-organisation:D303,E04000232,130000190
parish,,government-organisation:D303,E04000233,130000191
parish,,government-organisation:D303,E04000234,130000192
parish,,government-organisation:D303,E04000235,130000193
parish,,government-organisation:D303,E04000236,130000194
parish,,government-organisation:D303,E04000237,130000195
parish,,government-organisation:D303,E04000238,130000196
parish,,government-organisation:D303,E04000239,130000197
parish,,government-organisation:D303,E04000240,130000198
parish,,government-organisation:D303,E04000241,130000199
parish,,government-organisation:D303,E04000242,130000200
parish,,government-organisation:D303,E04000243,130000201
parish,,government-organisation:D303,E04000244,130000202
parish,,government-organisation:D303,E04000245,130000203
parish,,government-organisation:D303,E04000246,130000204
parish,,government-organisation:D303,E04000247,130000205
parish,,government-organisation:D303,E04000248,130000206
parish,,government-organisation:D303,E04000249,130000207
parish,,government-organisation:D303,E04000250,130000208
parish,,government-organisation:D303,E04000251,130000209
parish,,government-organisation:D303,E04000252,130000210
parish,,government-organisation:D303,E04000253,130000211
parish,,government-organisation:D303,E04000254,130000212
parish,,government-organisation:D303,E04000255,130000213
parish,,government-organisation:D303,E04000256,130000214
parish,,government-organisation:D303,E04000257,130000215
parish,,government-organisation:D303,E04000258,130000216
parish,,government-organisation:D303,E04000259,130000217
parish,,government-organisation:D303,E04000260,130000218
parish,,government-organisation:D303,E04000261,130000219
parish,,government-organisation:D303,E04000262,130000220
parish,,government-organisation:D303,E04000263,130000221
parish,,government-organisation:D303,E04000264,130000222
parish,,government-organisation:D303,E04000265,130000223
parish,,government-organisation:D303,E04000266,130000224
parish,,government-organisation:D303,E04000267,130000225
parish,,government-organisation:D303,E04000268,130000226
parish,,government-organisation:D303,E04000269,130000227
parish,,government-organisation:D303,E04000272,130000228
parish,,government-organisation:D303,E04000275,130000229
parish,,government-organisation:D303,E04000277,130000230
parish,,government-organisation:D303,E04000279,130000231
parish,,government-organisation:D303,E04000283,130000232
parish,,government-organisation:D303,E04000284,130000233
parish,,government-organisation:D303,E04000286,130000234
parish,,government-organisation:D303,E04000288,130000235
parish,,government-organisation:D303,E04000289,130000236
parish,,government-organisation:D303,E04000290,130000237
parish,,government-organisation:D303,E04000291,130000238
parish,,government-organisation:D303,E04000292,130000239
parish,,government-organisation:D303,E04000293,130000240
parish,,government-organisation:D303,E04000294,130000241
parish,,government-organisation:D303,E04000295,130000242
parish,,government-organisation:D303,E04000296,130000243
parish,,government-organisation:D303,E04000297,130000244
parish,,government-organisation:D303,E04000298,130000245
parish,,government-organisation:D303,E04000300,130000246
parish,,government-organisation:D303,E04000301,130000247
parish,,government-organisation:D303,E04000302,130000248
parish,,government-organisation:D303,E04000305,130000249
parish,,government-organisation:D303,E04000307,130000250
parish,,government-organisation:D303,E04000308,130000251
parish,,government-organisation:D303,E04000310,130000252
parish,,government-organisation:D303,E04000311,130000253
parish,,government-organisation:D303,E04000312,130000254
parish,,government-organisation:D303,E04000313,130000255
parish,,government-organisation:D303,E04000314,130000256
parish,,government-organisation:D303,E04000315,130000257
parish,,government-organisation:D303,E04000316,130000258
parish,,government-organisation:D303,E04000317,130000259
parish,,government-organisation:D303,E04000318,130000260
parish,,government-organisation:D303,E04000319,130000261
parish,,government-organisation:D303,E04000320,130000262
parish,,government-organisation:D303,E04000321,130000263
parish,,government-organisation:D303,E04000322,130000264
parish,,government-organisation:D303,E04000323,130000265
parish,,government-organisation:D303,E04000324,130000266
parish,,government-organisation:D303,E04000325,130000267
parish,,government-organisation:D303,E04000326,130000268
parish,,government-organisation:D303,E04000327,130000269
parish,,government-organisation:D303,E04000328,130000270
parish,,government-organisation:D303,E04000329,130000271
parish,,government-organisation:D303,E04000330,130000272
parish,,government-organisation:D303,E04000331,130000273
parish,,government-organisation:D303,E04000332,130000274
parish,,government-organisation:D303,E04000333,130000275
parish,,government-organisation:D303,E04000334,130000276
parish,,government-organisation:D303,E04000335,130000277
parish,,government-organisation:D303,E04000336,130000278
parish,,government-organisation:D303,E04000337,130000279
parish,,government-organisation:D303,E04000338,130000280
parish,,government-organisation:D303,E04000339,130000281
parish,,government-organisation:D303,E04000340,130000282
parish,,government-organisation:D303,E04000341,130000283
parish,,government-organisation:D303,E04000342,130000284
parish,,government-organisation:D303,E04000343,130000285
parish,,government-organisation:D303,E04000344,130000286
parish,,government-organisation:D303,E04000345,130000287
parish,,government-organisation:D303,E04000346,130000288
parish,,government-organisation:D303,E04000347,130000289
parish,,government-organisation:D303,E04000348,130000290
parish,,government-organisation:D303,E04000349,130000291
parish,,government-organisation:D303,E04000350,130000292
parish,,government-organisation:D303,E04000351,130000293
parish,,government-organisation:D303,E04000352,130000294
parish,,government-organisation:D303,E04000353,130000295
parish,,government-organisation:D303,E04000354,130000296
parish,,government-organisation:D303,E04000355,130000297
parish,,government-organisation:D303,E04000356,130000298
parish,,government-organisation:D303,E04000357,130000299
parish,,government-organisation:D303,E04000358,130000300
parish,,government-organisation:D303,E04000359,130000301
parish,,government-organisation:D303,E04000360,130000302
parish,,government-organisation:D303,E04000361,130000303
parish,,government-organisation:D303,E04000362,130000304
parish,,government-organisation:D303,E04000363,130000305
parish,,government-organisation:D303,E04000364,130000306
parish,,government-organisation:D303,E04000365,130000307
parish,,government-organisation:D303,E04000366,130000308
parish,,government-organisation:D303,E04000367,130000309
parish,,government-organisation:D303,E04000368,130000310
parish,,government-organisation:D303,E04000369,130000311
parish,,government-organisation:D303,E04000370,130000312
parish,,government-organisation:D303,E04000371,130000313
parish,,government-organisation:D303,E04000372,130000314
parish,,government-organisation:D303,E04000373,130000315
parish,,government-organisation:D303,E04000374,130000316
parish,,government-organisation:D303,E04000375,130000317
parish,,government-organisation:D303,E04000376,130000318
parish,,government-organisation:D303,E04000377,130000319
parish,,government-organisation:D303,E04000378,130000320
parish,,government-organisation:D303,E04000379,130000321
parish,,government-organisation:D303,E04000380,130000322
parish,,government-organisation:D303,E04000381,130000323
parish,,government-organisation:D303,E04000382,130000324
parish,,government-organisation:D303,E04000383,130000325
parish,,government-organisation:D303,E04000384,130000326
parish,,government-organisation:D303,E04000385,130000327
parish,,government-organisation:D303,E04000386,130000328
parish,,government-organisation:D303,E04000387,130000329
parish,,government-organisation:D303,E04000388,130000330
parish,,government-organisation:D303,E04000389,130000331
parish,,government-organisation:D303,E04000390,130000332
parish,,government-organisation:D303,E04000391,130000333
parish,,government-organisation:D303,E04000392,130000334
parish,,government-organisation:D303,E04000393,130000335
parish,,government-organisation:D303,E04000394,130000336
parish,,government-organisation:D303,E04000395,130000337
parish,,government-organisation:D303,E04000396,130000338
parish,,government-organisation:D303,E04000397,130000339
parish,,government-organisation:D303,E04000398,130000340
parish,,government-organisation:D303,E04000399,130000341
parish,,government-organisation:D303,E04000400,130000342
parish,,government-organisation:D303,E04000401,130000343
parish,,government-organisation:D303,E04000402,130000344
parish,,government-organisation:D303,E04000403,130000345
