row-number,field,issue-type,value
1,organisation,default,government-organisation:D303
1,entry-date,default,2021-02-12
2,organisation,default,government-organisation:D303
2,entry-date,default,2021-02-12
3,organisation,default,government-organisation:D303
3,entry-date,default,2021-02-12
4,organisation,default,government-organisation:D303
4,entry-date,default,2021-02-12
5,organisation,default,government-organisation:D303
5,entry-date,default,2021-02-12
6,organisation,default,government-organisation:D303
6,entry-date,default,2021-02-12
7,organisation,default,government-organisation:D303
7,entry-date,default,2021-02-12
8,organisation,default,government-organisation:D303
8,entry-date,default,2021-02-12
9,organisation,default,government-organisation:D303
9,entry-date,default,2021-02-12
10,organisation,default,government-organisation:D303
10,entry-date,default,2021-02-12
11,organisation,default,government-organisation:D303
11,entry-date,default,2021-02-12
12,organisation,default,government-organisation:D303
12,entry-date,default,2021-02-12
13,organisation,default,government-organisation:D303
13,entry-date,default,2021-02-12
14,organisation,default,government-organisation:D303
14,entry-date,default,2021-02-12
15,organisation,default,government-organisation:D303
15,entry-date,default,2021-02-12
16,organisation,default,government-organisation:D303
16,entry-date,default,2021-02-12
17,organisation,default,government-organisation:D303
17,entry-date,default,2021-02-12
18,organisation,default,government-organisation:D303
18,entry-date,default,2021-02-12
19,organisation,default,government-organisation:D303
19,entry-date,default,2021-02-12
20,organisation,default,government-organisation:D303
20,entry-date,default,2021-02-12
21,organisation,default,government-organisation:D303
21,entry-date,default,2021-02-12
22,organisation,default,government-organisation:D303
22,entry-date,default,2021-02-12
23,organisation,default,government-organisation:D303
23,entry-date,default,2021-02-12
24,organisation,default,government-organisation:D303
24,entry-date,default,2021-02-12
25,organisation,default,government-organisation:D303
25,entry-date,default,2021-02-12
26,organisation,default,government-organisation:D303
26,entry-date,default,2021-02-12
27,organisation,default,government-organisation:D303
27,entry-date,default,2021-02-12
28,organisation,default,government-organisation:D303
28,entry-date,default,2021-02-12
29,organisation,default,government-organisation:D303
29,entry-date,default,2021-02-12
30,organisation,default,government-organisation:D303
30,entry-date,default,2021-02-12
31,organisation,default,government-organisation:D303
31,entry-date,default,2021-02-12
32,organisation,default,government-organisation:D303
32,entry-date,default,2021-02-12
33,organisation,default,government-organisation:D303
33,entry-date,default,2021-02-12
34,organisation,default,government-organisation:D303
34,entry-date,default,2021-02-12
35,organisation,default,government-organisation:D303
35,entry-date,default,2021-02-12
36,organisation,default,government-organisation:D303
36,entry-date,default,2021-02-12
37,organisation,default,government-organisation:D303
37,entry-date,default,2021-02-12
38,organisation,default,government-organisation:D303
38,entry-date,default,2021-02-12
39,organisation,default,government-organisation:D303
39,entry-date,default,2021-02-12
40,organisation,default,government-organisation:D303
40,entry-date,default,2021-02-12
41,organisation,default,government-organisation:D303
41,entry-date,default,2021-02-12
42,organisation,default,government-organisation:D303
42,entry-date,default,2021-02-12
43,organisation,default,government-organisation:D303
43,entry-date,default,2021-02-12
44,organisation,default,government-organisation:D303
44,entry-date,default,2021-02-12
45,organisation,default,government-organisation:D303
45,entry-date,default,2021-02-12
46,organisation,default,government-organisation:D303
46,entry-date,default,2021-02-12
47,organisation,default,government-organisation:D303
47,entry-date,default,2021-02-12
48,organisation,default,government-organisation:D303
48,entry-date,default,2021-02-12
49,organisation,default,government-organisation:D303
49,entry-date,default,2021-02-12
50,organisation,default,government-organisation:D303
50,entry-date,default,2021-02-12
51,organisation,default,government-organisation:D303
51,entry-date,default,2021-02-12
52,organisation,default,government-organisation:D303
52,entry-date,default,2021-02-12
53,organisation,default,government-organisation:D303
53,entry-date,default,2021-02-12
54,organisation,default,government-organisation:D303
54,entry-date,default,2021-02-12
55,organisation,default,government-organisation:D303
55,entry-date,default,2021-02-12
56,organisation,default,government-organisation:D303
56,entry-date,default,2021-02-12
57,organisation,default,government-organisation:D303
57,entry-date,default,2021-02-12
58,organisation,default,government-organisation:D303
58,entry-date,default,2021-02-12
59,organisation,default,government-organisation:D303
59,entry-date,default,2021-02-12
60,organisation,default,government-organisation:D303
60,entry-date,default,2021-02-12
61,organisation,default,government-organisation:D303
61,entry-date,default,2021-02-12
62,organisation,default,government-organisation:D303
62,entry-date,default,2021-02-12
63,organisation,default,government-organisation:D303
63,entry-date,default,2021-02-12
64,organisation,default,government-organisation:D303
64,entry-date,default,2021-02-12
65,organisation,default,government-organisation:D303
65,entry-date,default,2021-02-12
66,organisation,default,government-organisation:D303
66,entry-date,default,2021-02-12
67,organisation,default,government-organisation:D303
67,entry-date,default,2021-02-12
68,organisation,default,government-organisation:D303
68,entry-date,default,2021-02-12
69,organisation,default,government-organisation:D303
69,entry-date,default,2021-02-12
70,organisation,default,government-organisation:D303
70,entry-date,default,2021-02-12
71,organisation,default,government-organisation:D303
71,entry-date,default,2021-02-12
72,organisation,default,government-organisation:D303
72,entry-date,default,2021-02-12
73,organisation,default,government-organisation:D303
73,entry-date,default,2021-02-12
74,organisation,default,government-organisation:D303
74,entry-date,default,2021-02-12
75,organisation,default,government-organisation:D303
75,entry-date,default,2021-02-12
76,organisation,default,government-organisation:D303
76,entry-date,default,2021-02-12
77,organisation,default,government-organisation:D303
77,entry-date,default,2021-02-12
78,organisation,default,government-organisation:D303
78,entry-date,default,2021-02-12
79,organisation,default,government-organisation:D303
79,entry-date,default,2021-02-12
80,organisation,default,government-organisation:D303
80,entry-date,default,2021-02-12
81,organisation,default,government-organisation:D303
81,entry-date,default,2021-02-12
82,organisation,default,government-organisation:D303
82,entry-date,default,2021-02-12
83,organisation,default,government-organisation:D303
83,entry-date,default,2021-02-12
84,organisation,default,government-organisation:D303
84,entry-date,default,2021-02-12
85,organisation,default,government-organisation:D303
85,entry-date,default,2021-02-12
86,organisation,default,government-organisation:D303
86,entry-date,default,2021-02-12
87,organisation,default,government-organisation:D303
87,entry-date,default,2021-02-12
88,organisation,default,government-organisation:D303
88,entry-date,default,2021-02-12
89,organisation,default,government-organisation:D303
89,entry-date,default,2021-02-12
90,organisation,default,government-organisation:D303
90,entry-date,default,2021-02-12
91,organisation,default,government-organisation:D303
91,entry-date,default,2021-02-12
92,organisation,default,government-organisation:D303
92,entry-date,default,2021-02-12
93,organisation,default,government-organisation:D303
93,entry-date,default,2021-02-12
94,organisation,default,government-organisation:D303
94,entry-date,default,2021-02-12
95,organisation,default,government-organisation:D303
95,entry-date,default,2021-02-12
96,organisation,default,government-organisation:D303
96,entry-date,default,2021-02-12
97,organisation,default,government-organisation:D303
97,entry-date,default,2021-02-12
98,organisation,default,government-organisation:D303
98,entry-date,default,2021-02-12
99,organisation,default,government-organisation:D303
99,entry-date,default,2021-02-12
100,organisation,default,government-organisation:D303
100,entry-date,default,2021-02-12
101,organisation,default,government-organisation:D303
101,entry-date,default,2021-02-12
102,organisation,default,government-organisation:D303
102,entry-date,default,2021-02-12
103,organisation,default,government-organisation:D303
103,entry-date,default,2021-02-12
104,organisation,default,government-organisation:D303
104,entry-date,default,2021-02-12
105,organisation,default,government-organisation:D303
105,entry-date,default,2021-02-12
106,organisation,default,government-organisation:D303
106,entry-date,default,2021-02-12
107,organisation,default,government-organisation:D303
107,entry-date,default,2021-02-12
108,organisation,default,government-organisation:D303
108,entry-date,default,2021-02-12
109,organisation,default,government-organisation:D303
109,entry-date,default,2021-02-12
110,organisation,default,government-organisation:D303
110,entry-date,default,2021-02-12
111,organisation,default,government-organisation:D303
111,entry-date,default,2021-02-12
112,organisation,default,government-organisation:D303
112,entry-date,default,2021-02-12
113,organisation,default,government-organisation:D303
113,entry-date,default,2021-02-12
